Code,Area,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
E09000019,Islington,3.0,2,5.0,6.0,6.0,7.0,11.0,18.29,23.5,26.3337,28.26476696954949,29.063548692517926,30.4,32.2,31.4,32.7,32.800000000000004,29.4,31.6,29.45976788454421,28.999999999999996,29.599999999999998,31.3
E09000020,Kensington and Chelsea,11.0,13,8.0,9.0,9.0,15.0,18.0,19.94,24.28,27.93,30.210684794872623,30.652011564839054,31.900000000000002,33.7,26.400000000000002,25.4,25.3,25.900000000000002,25.7,26.210843761224687,27.0,28.599999999999998,24.2
E09000021,Kingston upon Thames,15.0,18,20.0,18.0,18.0,19.0,18.0,23.97,23.9,25.6169,35.35913273643036,46.15658777008751,47.4,46.800000000000004,46.300000000000004,46.300000000000004,45.7,45.800000000000004,47.0,48.310838580282436,49.4,48.6,47.599999999999994
E09000022,Lambeth,7.0,8,9.0,8.0,10.0,12.0,16.0,22.15,23.1,25.12,25.51212465508846,27.1534728281262,28.299999999999997,27.900000000000002,22.8,21.099999999999998,28.299999999999997,28.7,28.799999999999997,29.830906149815274,30.099999999999998,31.7,36.4
E09000023,Lewisham,9.0,4,5.0,6.0,7.0,8.0,10.0,12.2,15.75,21.9875,20.548306519452176,16.848058703290985,18.099999999999998,17.2,20.0,17.7,17.1,18.0,17.7,21.823293496442894,28.000000000000004,26.6,28.4
E09000024,Merton,9.0,11,18.0,15.0,15.0,15.0,20.0,22.59,25.05,27.0819,30.368258976871026,33.61637364016888,36.4,37.3,38.9,38.9,37.5,34.8,35.699999999999996,36.97291810581817,38.5,42.199999999999996,40.8
E09000025,Newham,2.0,3,3.0,3.0,5.0,2.0,6.0,10.13,13.58,14.3977,15.404461770928988,18.79857211778396,14.899999999999999,22.7,21.0,17.7,17.2,14.7,14.099999999999998,14.12815713885484,16.900000000000002,20.3,20.9
E09000026,Redbridge,7.0,8,9.0,10.0,13.0,9.0,16.0,17.34,18.6,22.382800000000003,26.248486980205875,31.584454145900303,27.6,32.5,29.4,29.299999999999997,28.7,27.700000000000003,26.700000000000003,23.906444632774505,24.9,25.4,25.4
E09000027,Richmond upon Thames,14.0,na,15.0,19.0,23.0,24.0,24.0,28.59,31.71,36.144400000000005,41.731634015246215,43.01400177922091,43.4,44.7,46.0,43.3,41.199999999999996,40.5,42.4,41.856481436968224,42.5,43.6,40.400000000000006
E09000028,Southwark,4.0,3,3.0,4.0,4.0,7.0,11.0,14.96,18.46,20.0216,20.89019030797403,22.131032249508415,25.1,27.3,30.4,34.300000000000004,34.599999999999994,35.0,34.0,34.72759324036216,35.199999999999996,35.099999999999994,32.5
E09000029,Sutton,16.0,27,25.0,16.0,19.0,25.0,28.0,29.07,30.26,32.4759,31.995702050990438,37.5111724247452,37.5,37.4,36.5,37.1,37.6,34.699999999999996,36.5,50.04881450488145,49.1,48.5,46.1
E09000030,Tower Hamlets,3.0,3,3.0,3.0,3.0,5.0,7.0,8.85,11.75,13.0402,19.327108731409776,26.38848590930704,24.6,27.1,27.6,28.000000000000004,28.1,26.700000000000003,27.6,26.449413171049773,23.200000000000003,21.5,19.3
E09000031,Waltham Forest,6.0,9,9.0,8.0,11.0,12.0,18.0,21.85,27.51,29.738599999999998,27.84295203523714,27.92473955160689,27.3,27.1,30.8,32.6,35.5,34.599999999999994,34.4,32.481245372930076,31.6,32.300000000000004,31.900000000000002
E09000032,Wandsworth,8.0,7,7.0,8.0,10.0,18.0,17.0,20.96,22.87,24.66,26.56914956944338,24.985859390120925,26.700000000000003,28.4,23.5,20.4,20.7,21.099999999999998,21.9,22.085339995442375,23.200000000000003,23.7,24.2
E09000033,Westminster,10.0,7,7.0,9.0,10.0,11.0,15.0,18.29,20.38,22.7198,23.037298257662854,24.078801291192082,25.3,25.1,21.7,21.099999999999998,19.1,17.299999999999997,17.4,18.846206550038826,21.7,20.4,23.9
